slug;marca;familia;nome;tipo;pbt;pbtc;cmt;reducao;entre_eixos;comprimento;energia;bateria;autonomia;carregamento;passageiros;configuracao;carroceria;emissoes;fonte;status
daily-65-180;IVECO;Daily;Daily 65-180;Caminhão;6.500 kg;Não publicado (CMT 8.800 kg);8.800 kg;4,63:1;4.350;7.372;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/Daily/Daily-Chassi-Cabine;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
iveco-bus-10-190;IVECO;IVECO BUS;IVECO BUS 10-190;Ônibus;10.500 kg;Não se aplica;Não publicado na ficha oficial;4,56:1;4.500 / 4.800;Conforme carroceria homologada;Diesel;Não se aplica;Não se aplica;Não se aplica;Conforme carroceria homologada;4x2, motor dianteiro;Chassi de ônibus;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_Bus.pdf?rev=4a486a07dc6b4fec8f9feb9c19ba74b1;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
iveco-bus-17-280;IVECO;IVECO BUS;IVECO BUS 17-280;Ônibus;16.000 kg;Não se aplica;Não publicado na ficha oficial;5,57:1 / 5,13:1 / 6,57:1;5.950;Conforme carroceria homologada;Diesel;Não se aplica;Não se aplica;Não se aplica;Conforme carroceria homologada;4x2, motor dianteiro;Chassi de ônibus;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_Bus.pdf?rev=4a486a07dc6b4fec8f9feb9c19ba74b1;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
s-way-480-4x2;IVECO;S-Way;S-Way 480 4x2;Caminhão;16.000 kg;46.000 kg;60.000 kg;2,85:1;3.498;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/S-WAY-450-4x2-20-05-2025.pdf?rev=6623281ecfb145a98900b154b7e14be0;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
s-way-480-6x2;IVECO;S-Way;S-Way 480 6x2;Caminhão;23.000 kg;58.500 kg;60.000 kg;3,08:1 / 2,85:1 (opcional);3.173 / 3.451 / 3.489;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://new.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/S-WAY_480_6X2-20-05-2025.pdf?rev=ed312e835a364237aac32d8610f7ca89;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
s-way-540-6x4;IVECO;S-Way;S-Way 540 6x4;Caminhão;23.000 kg;74.000 kg;80.000 kg;3,07:1;3.540;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/S-WAY_540_6X4-20-05-2025.pdf?rev=0971168e35394576965b399e5ada81c8;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-11-190;IVECO;Tector;Tector 11-190;Caminhão;10.600 kg;13.000 kg;Não publicado na ficha oficial;4,56:1;3.886 / 4.441;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_medio_MY24-v8.pdf?rev=f6846a22333e4af3879b7f7edf9b1794;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-15-210;IVECO;Tector;Tector 15-210;Caminhão;15.400 kg;27.000 kg;Não publicado na ficha oficial;4,10:1 / 5,72:1;4.104 / 4.735;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_medio_MY24-v8.pdf?rev=f6846a22333e4af3879b7f7edf9b1794;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-17-320;IVECO;Tector;Tector 17-320;Caminhão;16.000 kg;33.000 kg;Não publicado na ficha oficial;3,73:1;4.188 / 4.818;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_semipesado_MY24-v12.pdf?rev=8fee15f7982a4004aa534cf87d7150ed;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-17-320t;IVECO;Tector;Tector 17-320T;Caminhão;16.000 kg;35.000 kg;Não publicado na ficha oficial;4,56:1;3.693;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_semipesado_MY24-v12.pdf?rev=8fee15f7982a4004aa534cf87d7150ed;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-24-280;IVECO;Tector;Tector 24-280;Caminhão;23.000 kg;36.000 kg;Não publicado na ficha oficial;3,73:1;4.189 / 4.819 / 5.668;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_semipesado_MY24-v12.pdf?rev=8fee15f7982a4004aa534cf87d7150ed;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-24-320;IVECO;Tector;Tector 24-320;Caminhão;23.000 kg;44.000 kg;Não publicado na ficha oficial;3,73:1;4.189 / 4.819 / 5.668;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_semipesado_MY24-v12.pdf?rev=8fee15f7982a4004aa534cf87d7150ed;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-27-320;IVECO;Tector;Tector 27-320;Caminhão;23.000 kg;44.000 kg;Não publicado na ficha oficial;4,88:1;3.690 / 4.185 / 4.815;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_semipesado_MY24-v12.pdf?rev=8fee15f7982a4004aa534cf87d7150ed;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-31-280;IVECO;Tector;Tector 31-280;Caminhão;29.000 kg;35.000 kg;Não publicado na ficha oficial;3,73:1;5.175 / 5.950;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;8x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_semipesado_MY24-v12.pdf?rev=8fee15f7982a4004aa534cf87d7150ed;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-31-320;IVECO;Tector;Tector 31-320;Caminhão;29.000 kg;35.000 kg;Não publicado na ficha oficial;3,73:1;5.175 / 5.950;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;8x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_semipesado_MY24-v12.pdf?rev=8fee15f7982a4004aa534cf87d7150ed;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
tector-9-190;IVECO;Tector;Tector 9-190;Caminhão;8.600 kg;11.000 kg;Não publicado na ficha oficial;4,30:1;3.906 / 4.460;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.iveco.com/brasil/-/media/IVECOdotcom/Brasil/ProductBrochures/Iveco_tector_medio_MY24-v8.pdf?rev=f6846a22333e4af3879b7f7edf9b1794;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
actros-2045-s-4x2;Mercedes-Benz;Actros;Actros 2045 S 4x2;Caminhão;20.000 kg;Não publicado (CMT 62.000 / 68.000 kg);62.000 / 68.000 kg;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/actros;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
actros-2548-s-6x2;Mercedes-Benz;Actros;Actros 2548 S 6x2;Caminhão;25.000 kg;Não publicado (CMT 62.000 / 68.000 kg);62.000 / 68.000 kg;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/actros;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
actros-2553-s-6x2;Mercedes-Benz;Actros;Actros 2553 S 6x2;Caminhão;25.000 kg;Não publicado (CMT 62.000 / 68.000 kg);62.000 / 68.000 kg;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/actros;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
actros-2651-s-6x4;Mercedes-Benz;Actros;Actros 2651 S 6x4;Caminhão;26.000 kg;Não publicado (CMT 80.000 / 120.000 kg);80.000 / 120.000 kg;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/actros;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
actros-2653-s-6x4;Mercedes-Benz;Actros;Actros 2653 S 6x4;Caminhão;26.000 kg;Não publicado (CMT 80.000 / 120.000 kg);80.000 / 120.000 kg;Conforme eixo e aplicação;3.250;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/actros;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
arocs-3351-k-6x4;Mercedes-Benz;Arocs;Arocs 3351 K 6x4;Caminhão;33.500 kg;Não publicado (CMT 150.000 kg);150.000 kg;Conforme eixo e aplicação;3.300+1.350;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4 basculante;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/arocs;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
arocs-3353-s-6x4;Mercedes-Benz;Arocs;Arocs 3353 S 6x4;Caminhão;33.500 kg;Não publicado (CMT 150.000 kg);150.000 kg;Conforme eixo e aplicação;3.300+1.650;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/arocs;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
arocs-4151-k-6x4;Mercedes-Benz;Arocs;Arocs 4151 K 6x4;Caminhão;41.000 kg;Não publicado (CMT 150.000 kg);150.000 kg;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4 basculante;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/arocs;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
arocs-5851-k-8x4;Mercedes-Benz;Arocs;Arocs 5851 K 8x4;Caminhão;58.000 kg;Não publicado (CMT 150.000 kg);150.000 kg;Conforme eixo e aplicação;2.000+2.550+1.450;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;8x4 basculante;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/arocs;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
atego-1719-k-4x2;Mercedes-Benz;Atego;Atego 1719 K 4x2;Caminhão;17.100 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.600 / 4.200 / 4.800 / 5.400;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2 basculante;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
atego-1726-p-4x2;Mercedes-Benz;Atego;Atego 1726 P 4x2;Caminhão;17.100 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.600 / 4.200 / 4.800 / 5.400;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2 plataforma;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
atego-1733-k-4x2;Mercedes-Benz;Atego;Atego 1733 K 4x2;Caminhão;17.100 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.600 / 3.900 / 4.200 / 4.800 / 5.400;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2 basculante;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
atego-1933-ls-4x2;Mercedes-Benz;Atego;Atego 1933 LS 4x2;Caminhão;19.000 kg;Não publicado (CMT 45.100 kg);45.100 kg;Conforme eixo e aplicação;3.600;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
atego-2429-p-6x2;Mercedes-Benz;Atego;Atego 2429 P 6x2;Caminhão;24.100 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.600 / 4.800 / 5.400;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2 plataforma;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
atego-2433-p-6x2;Mercedes-Benz;Atego;Atego 2433 P 6x2;Caminhão;24.100 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.600 / 4.800 / 5.400;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2 plataforma;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
atego-2730-p-6x4;Mercedes-Benz;Atego;Atego 2730 P 6x4;Caminhão;26.600 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.600 / 4.800;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4 plataforma;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
